"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12470,"코리아리서치인터내셔널","전국지표조사(NBS)",2024-02-19,2024-02-21,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14077"
"2",12459,"여론조사공정","데일리안",2024-02-19,2024-02-20,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14064"
"3",12458,"리얼미터","뉴스피릿",2024-02-16,2024-02-18,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14047"
"4",12457,"조원씨앤아이","스트레이트뉴스",2024-02-17,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14063"
"5",12456,"한길리서치","쿠키뉴스",2024-02-17,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14062"
"6",12451,"한국리서치","KBS",2024-02-15,2024-02-17,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14057"
"7",12443,"엠브레인","YTN",2024-02-18,2024-02-19,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14046"
"8",12441,"미디어토마토","뉴스토마토",2024-02-17,2024-02-18,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14044"
"9",12429,"에브리리서치","뉴스피릿",2024-02-16,2024-02-17,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14030"
"10",12423,"여론조사꽃","여론조사꽃",2024-02-16,2024-02-17,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14025"
"11",12422,"여론조사꽃","여론조사꽃",2024-02-16,2024-02-17,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14024"
"12",12420,"입소스","한국경제신문",2024-02-14,2024-02-15,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14018"
"13",12418,"한국사회여론연구소(KSOI)","CBS",2024-02-15,2024-02-16,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14021"
