"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12744,"미디어토마토","뉴스토마토",2024-03-09,2024-03-10,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14388"
"2",12738,"메타보이스","JTBC",2024-03-07,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14383"
"3",12718,"코리아리서치인터내셔널","MBC",2024-03-09,2024-03-10,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14358"
"4",12717,"한국리서치","KBS",2024-03-07,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14357"
"5",12708,"여론조사꽃","여론조사꽃",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14348"
"6",12707,"여론조사꽃","여론조사꽃",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14347"
"7",12704,"알앤써치","아시아투데이",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14346"
"8",12697,"한국갤럽","한국갤럽",2024-03-05,2024-03-07,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14338"
"9",12695,"엠브레인","전국지표조사(NBS)",2024-03-04,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14335"
"10",12694,"알앤써치","알앤써치",2024-03-05,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14334"
"11",12693,"한국리서치","코리아타임스",2024-03-04,2024-03-05,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14330"
"12",12689,"여론조사공정","데일리안",2024-03-04,2024-03-05,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14328"
"13",12687,"메트릭스","연합뉴스",2024-03-02,2024-03-03,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14325"
"14",12686,"한길리서치","아주경제",2024-03-03,2024-03-04,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14326"
"15",12682,"엠브레인","YTN",2024-03-03,2024-03-04,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14321"
"16",12681,"미디어토마토","뉴스토마토",2024-03-02,2024-03-03,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14320"
"17",12677,"에브리리서치","뉴스피릿",2024-03-01,2024-03-02,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14317"
