"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12784,"한국갤럽","한국갤럽",2024-03-12,2024-03-14,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14437"
"2",12775,"여론조사공정","파이낸스투데이",2024-03-12,2024-03-12,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14418"
"3",12754,"조원씨앤아이","스트레이트뉴스",2024-03-09,2024-03-11,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14397"
"4",12744,"미디어토마토","뉴스토마토",2024-03-09,2024-03-10,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14388"
"5",12738,"메타보이스","JTBC",2024-03-07,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14383"
"6",12718,"코리아리서치인터내셔널","MBC",2024-03-09,2024-03-10,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14358"
"7",12717,"한국리서치","KBS",2024-03-07,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14357"
"8",12708,"여론조사꽃","여론조사꽃",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14348"
"9",12707,"여론조사꽃","여론조사꽃",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14347"
"10",12704,"알앤써치","아시아투데이",2024-03-08,2024-03-09,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14346"
"11",12697,"한국갤럽","한국갤럽",2024-03-05,2024-03-07,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14338"
"12",12695,"엠브레인","전국지표조사(NBS)",2024-03-04,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14335"
"13",12694,"알앤써치","알앤써치",2024-03-05,2024-03-06,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14334"
