"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",13277,"메트릭스","연합뉴스",2024-03-30,2024-03-31,"3.77%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14951&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",13271,"조원씨앤아이","스트레이트뉴스",2024-03-30,2024-04-01,"0.78%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14948&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",13224,"미디어토마토","뉴스토마토",2024-03-30,2024-03-31,"3.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14902&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",13207,"리서치뷰","리서치뷰",2024-03-29,2024-03-31,"0.71%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14879&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",13206,"리처치앤리서치","동아일보",2024-03-28,2024-03-29,"1.87%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14878&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",13175,"여론조사꽃","여론조사꽃",2024-03-29,2024-03-30,"1.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14840&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",13174,"여론조사꽃","여론조사꽃",2024-03-29,2024-03-30,"3.53%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14839&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",13159,"리얼미터","에너지경제신문",2024-03-28,2024-03-29,"1.3%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14824&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",13158,"한국갤럽","서울경제",2024-03-28,2024-03-29,"3.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14823&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",13151,"에이스리서치","뉴시스",2024-03-27,2024-03-28,"0.65%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14808&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",13139,"한국갤럽","한국갤럽",2024-03-26,2024-03-28,"5.41%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14805&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",13118,"조원씨앤아이","헤럴드경제",2024-03-25,2024-03-27,"0.89%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14786&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",13108,"코리아리서치인터내셔널","MBC",2024-03-26,2024-03-27,"3.98%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14777&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",13085,"조원씨앤아이","스트레이트뉴스",2024-03-23,2024-03-25,"0.75%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14749&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",13084,"한국리서치","KBS",2024-03-24,2024-03-26,"5.14%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14748&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"16",13061,"여론조사공정","파이낸스투데이",2024-03-25,2024-03-26,"1.31%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14728&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"17",13023,"엠브레인","YTN",2024-03-24,2024-03-25,"4.1%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14686&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"18",13013,"미디어토마토","뉴스토마토",2024-03-23,2024-03-24,"3.42%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14676&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"19",12970,"여론조사꽃","여론조사꽃",2024-03-22,2024-03-23,"1.38%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14632&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"20",12969,"여론조사꽃","여론조사꽃",2024-03-22,2024-03-23,"3.5%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14631&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"21",12955,"리얼미터","에너지경제신문",2024-03-21,2024-03-22,"1.3%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14616&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
